abandoned adj.  1 deserted, forsaken. 2 unrestrained, profligate.
bold adj.  1 confidently assertive; adventurous, brave. 2 impudent. 3 vivid (bold colours).  make (or be) so bold as to presume to; venture to.  boldly adv. Boldness n. [old english]
bonus n.  Extra benefit or payment. [latin, = good]
booking n.  Reservation or engagement.
bookmark n.  Thing used to mark a reader's place.
boolean adj.  Denoting a system of algebraic notation to represent logical propositions. [boole, name of a mathematician]
booth n.  1 small temporary structure used esp. As a market stall. 2 enclosure for telephoning, voting, etc. 3 cubicle in a restaurant etc. [old norse]
boots n.  Hotel servant who cleans shoes etc.
born adj.  1 existing as a result of birth. 2 a of natural ability or quality (a born leader). B (usu. Foll. By to + infin.) Destined (born lucky; born to be king). 3 (in comb.) Of a certain status by birth (french-born; well-born). [past part. Of *bear1] 
borough n.  1 a town represented in the house of commons. B town or district granted the status of a borough. 2 hist. Town with a municipal corporation conferred by a royal charter. [old english]
boulder n.  Large smooth rock. [scandinavian]
boulevard n.  1 broad tree-lined avenue. 2 esp. Us broad main road. [french from german]
boundary n.  (pl. -ies) 1 line marking the limits of an area etc. 2 cricket hit crossing the limits of the field, scoring 4 or 6 runs. [related to *bound2]
bouquet n.  1 bunch of flowers, esp. Professionally arranged. 2 scent of wine etc. 3 compliment. [french bois wood]
boutique n.  Small shop selling esp. Fashionable clothes. [french]
bowling n.  The game of skittles, tenpin bowling, or bowls.
boxing n.  Fighting with the fists, esp. As a sport.
bra n.  Undergarment worn by women to support the breasts. [abbreviation]
bracelet n.  1 ornamental band or chain worn on the wrist or arm. 2 slang handcuff.
brad n.  Thin flat nail with a head on only one side. [old norse]
brazil n.  1 tall s. American tree. 2 (in full brazil nut) its large three-sided nut. [brazil in s. America]
breakdown n.  1 a mechanical failure. B loss of (esp. Mental) health. 2 collapse (breakdown of communication). 3 analysis (of statistics etc.).
breath n.  1 a air drawn into or expelled from the lungs. B one respiration of air. C breath as perceived by the senses. 2 a slight movement of air. B whiff (of perfume etc.). 3 whisper, murmur (esp. Of scandal).  catch one's breath 1 cease breathing momentarily in surprise etc. 2 rest to restore normal breathing. Hold one's breath cease breathing temporarily. Out of breath gasping for air, esp. After exercise. Take one's breath away surprise, delight, etc. Under one's breath in a whisper. [old english]
breeding n.  1 raising of offspring; propagation. 2 social behaviour; ancestry.
bridal adj.  Of a bride or wedding. [old english]
bride n.  Woman on her wedding day and during the period just before and after it. [old english]
bring v.  (past and past part. Brought) 1 come carrying; lead, accompany; convey. 2 cause or result in (war brings misery). 3 be sold for; produce as income. 4 a prefer (a charge). B initiate (legal action). 5 cause to become or to reach a state (brings me alive; cannot bring myself to agree). 6 adduce (evidence, an argument, etc.).  bring about cause to happen. Bring back call to mind. Bring down 1 cause to fall. 2 lower (a price). Bring forth 1 give birth to. 2 cause. Bring forward 1 move to an earlier time. 2 transfer from the previous page or account. 3 draw attention to. Bring home to cause to realize fully. Bring the house down receive rapturous applause. Bring in 1 introduce. 2 yield as income or profit. Bring off achieve successfully. Bring on cause to happen, appear, or make progress. Bring out 1 emphasize; make evident. 2 publish. Bring over convert to one's own side. Bring round 1 restore to consciousness. 2 persuade. Bring through aid (a person) through adversity, esp. Illness. Bring to restore to consciousness (brought him to). Bring up 1 rear (a child). 2 vomit. 3 call attention to. 4 (absol.) Stop suddenly. [old english]
brochure n.  Pamphlet or booklet, esp. With descriptive information. [french brocher stitch]
broker n.  1 agent; middleman. 2 member of the stock exchange dealing in stocks and shares. 3 official appointed to sell or appraise distrained goods.  broking n. [anglo-french]
brother n.  1 man or boy in relation to his siblings. 2 close male friend or associate. 3 (pl. Also brethren) a member of a male religious order, esp. A monk. B fellow christian etc. 4 fellow human being.  brotherly adj. [old english]
brunette n.  Woman with dark brown hair. [french diminutive]
brutal adj.  1 savagely cruel. 2 harsh, merciless.  brutality n. (pl. -ies). Brutally adv. [french: related to *brute]
buffalo n.  (pl. Same or -es) 1 wild ox of africa or asia. 2 n. American bison. [greek boubalos ox]
builder n.  Person who builds, esp. A building contractor.
building n.  1 permanent fixed structure e.g. A house, factory, or stable. 2 constructing of these.
bullet n.  Small pointed missile fired from a rifle, revolver, etc. [french diminutive of boule ball]
bulletin n.  1 short official news report. 2 society's regular list of information etc. [italian diminutive: related to *bull2]
bumper n.  1 horizontal bar at the front or back of a motor vehicle, reducing damage in a collision. 2 (usu. Attrib.) Unusually large or fine example (bumper crop). 3 cricket ball rising high after pitching. 4 brim-full glass.
bunny n.  (pl. -ies) 1 child's name for a rabbit. 2 (in full bunny girl) club hostess, waitress, etc., wearing rabbit ears and tail. [dial. Bun rabbit]
bureau n.  (pl. -x or -s) 1 a desk with drawers and usu. An angled hinged top. B us chest of drawers. 2 a office or department for specific business. B government department. [french, originally = baize]
burner n.  Part of a gas cooker, lamp, etc. That emits the flame.
burning adj.  1 ardent, intense. 2 hotly discussed, vital, urgent.
burton n.   go for a burton slang be lost, destroyed, or killed. [origin uncertain]
business n.  1 one's regular occupation or profession. 2 one's own concern. 3 task or duty. 4 serious work or activity. 5 (difficult or unpleasant) matter or affair. 6 thing(s) needing attention or discussion. 7 buying and selling; trade. 8 commercial firm.  mind one's own business not meddle. [old english: related to *busy]
butler n.  Principal manservant of a household. [french bouteille bottle]
butterfly n.  (pl. -flies) 1 insect with four usu. Brightly coloured wings. 2 (in pl.) Colloq. Nervous sensation in the stomach.
buyer n.  1 person employed to purchase stock for a large store etc. 2 purchaser, customer.
byte n.  Computing group of eight binary digits, often representing one character. [origin uncertain]
cab n.  1 taxi. 2 driver's compartment in a lorry, train, or crane etc. [abbreviation of *cabriolet]
cabin n.  1 small shelter or house, esp. Of wood. 2 room or compartment in an aircraft or ship for passengers or crew. 3 driver's cab. [french from latin]
cabinet n.  1 a cupboard or case for storing or displaying things. B casing of a radio, television, etc. 2 (cabinet) committee of senior ministers in a government. [diminutive of *cabin]
cad n.  Man who behaves dishonourably.  caddish adj. [abbreviation of *caddie]
calcium n.  Soft grey metallic element occurring in limestone, marble, chalk, etc. [related to *calx]
calculate v.  (-ting) 1 ascertain or forecast esp. By mathematics or reckoning. 2 plan deliberately. 3 (foll. By on) rely on; reckon on.  calculable adj. [latin: related to *calculus]
calling n.  1 profession or occupation. 2 vocation.
cam n.  Projection on a wheel etc., shaped to convert circular into reciprocal or variable motion. [dutch kam comb]
camcorder n.  Combined video camera and sound recorder. [from *camera, *recorder]
camel n.  1 long-legged ruminant with one hump (arabian camel) or two humps (bactrian camel). 2 fawn colour. [greek]
camera n.  1 apparatus for taking photographs or moving film. 2 equipment for converting images into electrical signals.  in camera law in private. [latin: related to *chamber]
campus n.  (pl. -es) 1 grounds of a university or college. 2 esp. Us a university. [latin, = field]
canal n.  1 artificial inland waterway. 2 tubular duct in a plant or animal. [latin canalis]
cancel v.  (-ll-; us -l-) 1 revoke or discontinue (an arrangement). 2 delete (writing etc.). 3 mark (a ticket, stamp, etc.) To invalidate it. 4 annul; make void. 5 (often foll. By out) neutralize or counterbalance. 6 math. Strike out (an equal factor) on each side of an equation etc.  cancellation n. [latin: related to *chancel]
cancer n.  1 a malignant tumour of body cells. B disease caused by this. 2 evil influence or corruption. 3 (cancer) a constellation and fourth sign of the zodiac (the crab). B person born when the sun is in this sign.  cancerous adj. Cancroid adj. [latin, = crab]
candidate n.  1 person nominated for or seeking office, an award, etc. 2 person or thing likely to gain some distinction or position. 3 person entered for an examination.  candidacy n. Candidature n. [latin, = white-robed]
candle n.  Cylinder or block of wax or tallow with a central wick which gives light when burning.  cannot hold a candle to is much inferior to. Not worth the candle not justifying cost or trouble. [latin candela]
canon n.  1 a general law, rule, principle, or criterion. B church decree or law. 2 member of a cathedral chapter. 3 body of (esp. Sacred) writings accepted as genuine. 4 the part of the roman catholic mass containing the words of consecration. 5 mus. Piece with different parts taking up the same theme successively. [greek kanon rule]
canyon n.  (also cañon) deep gorge. [spanish cañón tube]
capable adj.  1 competent, able, gifted. 2 (foll. By of) a having the ability, fitness, etc. For. B admitting of (explanation, improvement, etc.).  capably adv. [latin capio hold]
capacity n.  (pl. -ies) 1 a power to contain, receive, experience, or produce (capacity for heat, pain, etc.). B maximum amount that can be contained or produced etc. C (attrib.) Fully occupying the available space etc. (capacity crowd). 2 mental power. 3 position or function. 4 legal competence.  to capacity fully. [latin: related to *capacious]
car n.  1 (in full motor car) motor vehicle for a driver and small number of passengers. 2 (in comb.) Road vehicle or railway carriage esp. Of a specified kind (tramcar; dining-car). 3 us any railway carriage or van. 4 passenger compartment of a lift, balloon, etc. [french from latin]
carb n.  Colloq. Carburettor. [abbreviation]
carbon n.  1 non-metallic element occurring naturally as diamond, graphite, and charcoal, and in all organic compounds. 2 a = *carbon copy. B = *carbon paper. 3 rod of carbon in an arc lamp. [latin carbo charcoal]
cardiac adj.  Of the heart. [greek kardia heart]
careful adj.  1 painstaking, thorough. 2 cautious. 3 taking care; not neglecting (careful to remind them).  carefully adv. Carefulness n.
